label,probability,page
0.0,0.12512534856796265,Mozart/89748/0
0.0,0.08690746873617172,Mozart/89748/1
0.0,0.06915994733572006,Mozart/89748/2
0.0,0.09913782775402069,Mozart/89748/3
0.0,0.08065319806337357,Mozart/89748/4
0.0,0.0644712746143341,Mozart/89748/5
0.0,0.05476007238030434,Mozart/89748/6
0.0,0.5529782772064209,Liszt/146713/1
0.0,0.102779820561409,Liszt/146713/2
0.0,0.14881357550621033,Liszt/146713/3
0.0,0.28607815504074097,Liszt/146713/4
0.0,0.20528049767017365,Liszt/146713/5
0.0,0.26404833793640137,Liszt/146713/6
0.0,0.1272791177034378,Liszt/58318/0
0.0,0.12605316936969757,Liszt/58318/1
0.0,0.12678055465221405,Liszt/58318/2
0.0,0.14464178681373596,Liszt/58318/3
0.0,0.1074354276061058,Liszt/58318/4
0.0,0.1335367113351822,Liszt/58318/5
0.0,0.21004411578178406,Liszt/58318/6
0.0,0.1464596390724182,Liszt/58318/7
0.0,0.206717386841774,Scriabin/262784/0
0.0,0.14835499227046967,Scriabin/262784/1
0.0,0.19981808960437775,Scriabin/262784/2
0.0,0.11063068360090256,Bach/02182/0
0.0,0.07169409841299057,Bach/02182/1
0.0,0.1293097287416458,Bach/02182/2
0.0,0.10673882067203522,Bach/02182/3
0.0,0.16041582822799683,Schubert/38461/0
0.0,0.10917764902114868,Schubert/38461/1
0.0,0.2524726688861847,Scriabin/509051/0
0.0,0.2701680362224579,Scriabin/509051/1
0.0,0.35738423466682434,Scriabin/509051/2
0.0,0.251228004693985,Scriabin/509051/3
0.0,0.24461016058921814,Scriabin/509052/0
0.0,0.2734813690185547,Scriabin/509052/1
0.0,0.15140390396118164,Scriabin/509052/2
0.0,0.28616923093795776,Scriabin/509052/3
0.0,0.172158882021904,Scriabin/509052/4
0.0,0.293785035610199,Scriabin/509052/5
0.0,0.27580952644348145,Scriabin/509052/6
0.0,0.1915513277053833,Scriabin/509052/7
0.0,0.22427378594875336,Scriabin/509052/8
0.0,0.19763386249542236,Scriabin/509052/9
0.0,0.28632932901382446,Scriabin/509052/10
0.0,0.173430398106575,Scriabin/509052/11
0.0,0.1853989064693451,Scriabin/509052/12
0.0,0.35668042302131653,Scriabin/509052/13
0.0,0.3083193004131317,Liszt/493810/3
0.0,0.12025242298841476,Liszt/493810/4
0.0,0.15891699492931366,Liszt/493810/5
0.0,0.08904634416103363,Liszt/493810/6
0.0,0.15297383069992065,Liszt/493810/7
0.0,0.05797595903277397,Liszt/493810/8
0.0,0.10786747932434082,Liszt/493810/9
0.0,0.12405665963888168,Liszt/493810/10
0.0,0.0721789076924324,Liszt/493810/11
0.0,0.18206098675727844,Liszt/493810/12
0.0,0.23014603555202484,Liszt/493810/13
0.0,0.19433505833148956,Liszt/04457/0
0.0,0.09144256263971329,Liszt/04457/1
0.0,0.1889995038509369,Liszt/04457/2
0.0,0.20280928909778595,Liszt/04457/3
0.0,0.1771085113286972,Schumann/289903/0
0.0,0.2611999809741974,Schumann/289903/1
0.0,0.22622813284397125,Schumann/289903/2
0.0,0.1684020757675171,Schumann/289903/3
0.0,0.22378894686698914,Schumann/289903/4
0.0,0.23258766531944275,Schumann/289903/5
0.0,0.24808676540851593,Schumann/289903/6
0.0,0.16262109577655792,Schumann/289903/7
0.0,0.34175530076026917,Schumann/289903/8
0.0,0.19657394289970398,Schumann/289903/9
0.0,0.18946661055088043,Schumann/289903/10
0.0,0.278974711894989,Schumann/289903/11
0.0,0.13114754855632782,Schumann/289903/12
0.0,0.10278687626123428,Schumann/289903/13
0.0,0.24864518642425537,Schumann/289903/14
0.0,0.1609266698360443,Schumann/289903/15
0.0,0.0997682735323906,Schumann/289903/16
0.0,0.20481109619140625,Schumann/289903/17
0.0,0.07982426136732101,Schumann/289903/18
0.0,0.13733930885791779,Schumann/289903/19
0.0,0.15920577943325043,Schumann/289903/20
0.0,0.10997840017080307,Schumann/289903/21
0.0,0.1213172897696495,Bach/02184/0
0.0,0.06186357140541077,Bach/02184/1
0.0,0.13669240474700928,Bach/02184/2
0.0,0.05271954834461212,Bach/02184/3
0.0,0.08070763945579529,Haydn/471910/0
0.0,0.05263728275895119,Haydn/471910/1
0.0,0.06115973740816116,Haydn/471910/2
0.0,0.04380723834037781,Haydn/471910/3
0.0,0.07817433029413223,Haydn/471910/4
0.0,0.11465872079133987,Haydn/471910/5
0.0,0.05613432079553604,Haydn/471910/6
0.0,0.08555097132921219,Haydn/471910/7
0.0,0.1294042021036148,Haydn/471910/8
0.0,0.043906841427087784,Haydn/471910/9
0.0,0.25517454743385315,Liszt/04668/0
0.0,0.17240501940250397,Liszt/04668/1
0.0,0.11771384626626968,Liszt/04668/2
0.0,0.09155600517988205,Liszt/04668/3
0.0,0.07662617415189743,Liszt/04668/4
0.0,0.11251789331436157,Liszt/04668/5
0.0,0.10676751285791397,Liszt/04668/6
0.0,0.07379141449928284,Liszt/04668/7
0.0,0.06357789784669876,Liszt/04668/8
0.0,0.08276109397411346,Liszt/04668/9
0.0,0.08019811660051346,Liszt/04668/10
0.0,0.06500893831253052,Liszt/04668/11
0.0,0.08238507062196732,Liszt/04668/12
0.0,0.0960274413228035,Liszt/04668/13
0.0,0.06614471226930618,Liszt/04668/14
0.0,0.0746413916349411,Liszt/04668/15
0.0,0.1400199830532074,Liszt/04668/16
0.0,0.057360339909791946,Liszt/04668/17
0.0,0.06959382444620132,Mozart/70215/0
0.0,0.07256489247083664,Mozart/70215/1
0.0,0.09077756851911545,Mozart/70215/2
0.0,0.06440503895282745,Mozart/70215/3
0.0,0.07124444842338562,Mozart/70215/4
0.0,0.10571430623531342,Mozart/70215/5
0.0,0.15707862377166748,Mozart/70215/6
0.0,0.07335346937179565,Mozart/70215/7
0.0,0.09956295043230057,Mozart/70215/8
0.0,0.0795312449336052,Mozart/70215/9
0.0,0.09487683326005936,Mozart/70215/10
0.0,0.1290590614080429,Mozart/70215/11
0.0,0.06469888985157013,Bach/00761/0
0.0,0.2476831078529358,Scriabin/75865/0
0.0,0.22591039538383484,Scriabin/75865/1
0.0,0.09729714691638947,Scriabin/75865/2
0.0,0.1441534459590912,Scriabin/08372/0
0.0,0.18169286847114563,Scriabin/08372/1
0.0,0.2576742172241211,Scriabin/08372/2
0.0,0.07844068109989166,Scriabin/08372/3
0.0,0.1489834189414978,Scriabin/08372/4
0.0,0.2638047933578491,Mozart/474097/0
0.0,0.25038304924964905,Mozart/474097/1
0.0,0.22785064578056335,Mozart/474097/2
0.0,0.21023866534233093,Mozart/474097/3
0.0,0.21149903535842896,Mozart/474097/4
0.0,0.04886265844106674,Mozart/86719/0
0.0,0.08800917863845825,Mozart/86719/1
0.0,0.19923336803913116,Mozart/86719/2
0.0,0.15418200194835663,Mozart/86719/3
0.0,0.08532461524009705,Mozart/86719/4
0.0,0.08388587832450867,Mozart/86719/5
0.0,0.06983325630426407,Mozart/86719/6
0.0,0.08336000889539719,Mozart/86719/7
0.0,0.14849239587783813,Mozart/86719/8
